prototype_id,prototype_name,rank,dataset_index,distance_to_centroid,image_path
0,P00,1,248,14.42956256866455,/kaggle/working/medgemma_prototypes/representative_images/P00/representative_1.png
0,P00,2,15,15.882452011108398,/kaggle/working/medgemma_prototypes/representative_images/P00/representative_2.png
0,P00,3,30,15.882453918457031,/kaggle/working/medgemma_prototypes/representative_images/P00/representative_3.png
1,P01,1,344,9.57137680053711,/kaggle/working/medgemma_prototypes/representative_images/P01/representative_1.png
1,P01,2,980,9.57137680053711,/kaggle/working/medgemma_prototypes/representative_images/P01/representative_2.png
1,P01,3,981,9.57137680053711,/kaggle/working/medgemma_prototypes/representative_images/P01/representative_3.png
2,P02,1,220,14.468313217163086,/kaggle/working/medgemma_prototypes/representative_images/P02/representative_1.png
2,P02,2,1606,14.468313217163086,/kaggle/working/medgemma_prototypes/representative_images/P02/representative_2.png
2,P02,3,1589,14.468313217163086,/kaggle/working/medgemma_prototypes/representative_images/P02/representative_3.png
3,P03,1,319,16.228261947631836,/kaggle/working/medgemma_prototypes/representative_images/P03/representative_1.png
3,P03,2,1523,16.228261947631836,/kaggle/working/medgemma_prototypes/representative_images/P03/representative_2.png
3,P03,3,1581,16.228261947631836,/kaggle/working/medgemma_prototypes/representative_images/P03/representative_3.png
4,P04,1,318,14.002206802368164,/kaggle/working/medgemma_prototypes/representative_images/P04/representative_1.png
4,P04,2,1480,14.002206802368164,/kaggle/working/medgemma_prototypes/representative_images/P04/representative_2.png
4,P04,3,1468,14.002206802368164,/kaggle/working/medgemma_prototypes/representative_images/P04/representative_3.png
5,P05,1,326,11.167815208435059,/kaggle/working/medgemma_prototypes/representative_images/P05/representative_1.png
5,P05,2,1718,11.167815208435059,/kaggle/working/medgemma_prototypes/representative_images/P05/representative_2.png
5,P05,3,1734,11.167815208435059,/kaggle/working/medgemma_prototypes/representative_images/P05/representative_3.png
6,P06,1,256,13.397087097167969,/kaggle/working/medgemma_prototypes/representative_images/P06/representative_1.png
6,P06,2,656,13.397087097167969,/kaggle/working/medgemma_prototypes/representative_images/P06/representative_2.png
6,P06,3,1210,13.397087097167969,/kaggle/working/medgemma_prototypes/representative_images/P06/representative_3.png
7,P07,1,230,15.580188751220703,/kaggle/working/medgemma_prototypes/representative_images/P07/representative_1.png
7,P07,2,647,15.580188751220703,/kaggle/working/medgemma_prototypes/representative_images/P07/representative_2.png
7,P07,3,639,15.580188751220703,/kaggle/working/medgemma_prototypes/representative_images/P07/representative_3.png
8,P08,1,4,6.604514122009277,/kaggle/working/medgemma_prototypes/representative_images/P08/representative_1.png
8,P08,2,9,6.60454797744751,/kaggle/working/medgemma_prototypes/representative_images/P08/representative_2.png
8,P08,3,226,6.604550838470459,/kaggle/working/medgemma_prototypes/representative_images/P08/representative_3.png
9,P09,1,161,14.207378387451172,/kaggle/working/medgemma_prototypes/representative_images/P09/representative_1.png
9,P09,2,1532,14.207378387451172,/kaggle/working/medgemma_prototypes/representative_images/P09/representative_2.png
9,P09,3,1540,14.207378387451172,/kaggle/working/medgemma_prototypes/representative_images/P09/representative_3.png
10,P10,1,90,12.714409828186035,/kaggle/working/medgemma_prototypes/representative_images/P10/representative_1.png
10,P10,2,92,12.714409828186035,/kaggle/working/medgemma_prototypes/representative_images/P10/representative_2.png
10,P10,3,142,12.714409828186035,/kaggle/working/medgemma_prototypes/representative_images/P10/representative_3.png
11,P11,1,192,14.240799903869629,/kaggle/working/medgemma_prototypes/representative_images/P11/representative_1.png
11,P11,2,621,14.240799903869629,/kaggle/working/medgemma_prototypes/representative_images/P11/representative_2.png
11,P11,3,622,14.240799903869629,/kaggle/working/medgemma_prototypes/representative_images/P11/representative_3.png
12,P12,1,241,15.629010200500488,/kaggle/working/medgemma_prototypes/representative_images/P12/representative_1.png
12,P12,2,413,15.629010200500488,/kaggle/working/medgemma_prototypes/representative_images/P12/representative_2.png
12,P12,3,983,15.629010200500488,/kaggle/working/medgemma_prototypes/representative_images/P12/representative_3.png
13,P13,1,917,13.402714729309082,/kaggle/working/medgemma_prototypes/representative_images/P13/representative_1.png
13,P13,2,939,13.402714729309082,/kaggle/working/medgemma_prototypes/representative_images/P13/representative_2.png
13,P13,3,883,13.402714729309082,/kaggle/working/medgemma_prototypes/representative_images/P13/representative_3.png
14,P14,1,574,11.972468376159668,/kaggle/working/medgemma_prototypes/representative_images/P14/representative_1.png
14,P14,2,573,11.972468376159668,/kaggle/working/medgemma_prototypes/representative_images/P14/representative_2.png
14,P14,3,551,11.972468376159668,/kaggle/working/medgemma_prototypes/representative_images/P14/representative_3.png
15,P15,1,1414,10.695460319519043,/kaggle/working/medgemma_prototypes/representative_images/P15/representative_1.png
15,P15,2,1417,10.695460319519043,/kaggle/working/medgemma_prototypes/representative_images/P15/representative_2.png
15,P15,3,1345,10.695460319519043,/kaggle/working/medgemma_prototypes/representative_images/P15/representative_3.png
16,P16,1,156,9.699807167053223,/kaggle/working/medgemma_prototypes/representative_images/P16/representative_1.png
16,P16,2,699,9.699807167053223,/kaggle/working/medgemma_prototypes/representative_images/P16/representative_2.png
16,P16,3,664,9.699807167053223,/kaggle/working/medgemma_prototypes/representative_images/P16/representative_3.png
17,P17,1,252,15.478992462158203,/kaggle/working/medgemma_prototypes/representative_images/P17/representative_1.png
17,P17,2,777,15.478992462158203,/kaggle/working/medgemma_prototypes/representative_images/P17/representative_2.png
17,P17,3,776,15.478992462158203,/kaggle/working/medgemma_prototypes/representative_images/P17/representative_3.png
18,P18,1,216,12.488348007202148,/kaggle/working/medgemma_prototypes/representative_images/P18/representative_1.png
18,P18,2,217,12.488348007202148,/kaggle/working/medgemma_prototypes/representative_images/P18/representative_2.png
18,P18,3,469,12.488348007202148,/kaggle/working/medgemma_prototypes/representative_images/P18/representative_3.png
19,P19,1,53,16.65199851989746,/kaggle/working/medgemma_prototypes/representative_images/P19/representative_1.png
19,P19,2,54,16.65199851989746,/kaggle/working/medgemma_prototypes/representative_images/P19/representative_2.png
19,P19,3,73,16.65199851989746,/kaggle/working/medgemma_prototypes/representative_images/P19/representative_3.png
20,P20,1,331,9.577378273010254,/kaggle/working/medgemma_prototypes/representative_images/P20/representative_1.png
20,P20,2,1668,9.577378273010254,/kaggle/working/medgemma_prototypes/representative_images/P20/representative_2.png
20,P20,3,819,9.577378273010254,/kaggle/working/medgemma_prototypes/representative_images/P20/representative_3.png
21,P21,1,160,18.16558074951172,/kaggle/working/medgemma_prototypes/representative_images/P21/representative_1.png
21,P21,2,571,18.16558074951172,/kaggle/working/medgemma_prototypes/representative_images/P21/representative_2.png
21,P21,3,578,18.16558074951172,/kaggle/working/medgemma_prototypes/representative_images/P21/representative_3.png
22,P22,1,1779,13.41203784942627,/kaggle/working/medgemma_prototypes/representative_images/P22/representative_1.png
22,P22,2,1780,13.41203784942627,/kaggle/working/medgemma_prototypes/representative_images/P22/representative_2.png
22,P22,3,10,13.412038803100586,/kaggle/working/medgemma_prototypes/representative_images/P22/representative_3.png
23,P23,1,352,9.36641788482666,/kaggle/working/medgemma_prototypes/representative_images/P23/representative_1.png
23,P23,2,1249,9.36641788482666,/kaggle/working/medgemma_prototypes/representative_images/P23/representative_2.png
23,P23,3,1262,9.36641788482666,/kaggle/working/medgemma_prototypes/representative_images/P23/representative_3.png
24,P24,1,293,15.528804779052734,/kaggle/working/medgemma_prototypes/representative_images/P24/representative_1.png
24,P24,2,1340,15.528804779052734,/kaggle/working/medgemma_prototypes/representative_images/P24/representative_2.png
24,P24,3,1286,15.528804779052734,/kaggle/working/medgemma_prototypes/representative_images/P24/representative_3.png
25,P25,1,779,18.91105079650879,/kaggle/working/medgemma_prototypes/representative_images/P25/representative_1.png
25,P25,2,1016,18.91105079650879,/kaggle/working/medgemma_prototypes/representative_images/P25/representative_2.png
