prototype_id,num_images,representative_position,representative_dataset_index,distance_to_centroid
0,69,248,248,14.429563
1,89,344,344,9.571377
2,56,220,220,14.468313
3,46,319,319,16.228262
4,44,318,318,14.002207
5,23,326,326,11.167815
6,97,256,256,13.397087
7,57,230,230,15.580189
8,16,4,4,6.604514
9,48,161,161,14.207378
10,68,90,90,12.71441
11,65,192,192,14.2408
12,48,241,241,15.62901
13,104,668,668,13.402715
14,83,532,532,11.972468
15,38,1345,1345,10.69546
16,112,156,156,9.699807
17,62,252,252,15.478992
18,17,216,216,12.488348
19,43,53,53,16.651999
20,71,331,331,9.577378
21,33,160,160,18.16558
22,43,1779,1779,13.412038
23,51,352,352,9.366418
24,61,293,293,15.528805
25,66,779,779,18.91105
26,44,815,815,13.836097
27,47,360,360,13.755501
28,56,167,167,15.37265
29,136,1357,1357,10.321991
