dataset_index,prototype_id
0,0
1,27
2,25
3,26
4,8
5,16
6,16
7,10
8,10
9,8
10,22
11,22
12,13
13,13
14,26
15,0
16,13
17,14
18,14
19,3
20,13
21,13
22,12
23,10
24,10
25,28
26,14
27,3
28,14
29,14
30,0
31,0
32,16
33,16
34,0
35,3
36,28
37,3
38,14
39,14
40,13
41,16
42,16
43,29
44,29
45,29
46,6
47,7
48,6
49,24
50,24
51,14
52,14
53,19
54,19
55,10
56,10
57,9
58,7
59,9
60,24
61,24
62,19
63,19
64,29
65,6
66,6
67,16
68,16
69,1
70,21
71,21
72,19
73,19
74,14
75,29
76,29
77,6
78,6
79,14
80,1
81,14
82,24
83,24
84,29
85,29
86,15
87,15
88,24
89,24
90,10
91,29
92,10
93,19
94,19
95,16
96,16
97,14
98,24
99,24
100,1
101,14
102,29
103,1
104,1
105,1
106,13
107,13
108,0
109,0
110,9
111,9
112,29
113,0
114,20
115,29
116,15
117,14
118,14
119,1
120,0
121,0
122,6
123,6
124,6
125,4
126,6
127,14
128,15
129,14
130,14
131,10
132,10
133,16
134,16
135,16
136,4
137,16
138,14
139,29
140,29
141,29
142,10
143,10
144,1
145,1
146,15
147,20
148,15
149,9
150,9
151,21
152,21
153,14
154,2
155,21
156,16
157,5
158,20
159,13
160,21
161,9
162,29
163,22
164,22
165,1
166,1
167,28
168,23
169,9
170,24
171,14
172,27
173,0
174,17
175,20
176,0
177,3
178,26
179,10
180,9
181,13
182,4
183,28
184,15
185,15
186,29
187,13
188,19
189,16
190,11
191,26
192,11
193,17
194,16
195,21
196,14
197,16
198,22
199,18
200,4
201,9
202,26
203,16
204,13
205,6
206,21
207,9
208,25
209,1
210,29
211,29
212,14
213,16
214,7
215,25
216,18
217,18
218,17
219,4
220,2
221,20
222,12
223,7
224,25
225,16
226,8
227,27
228,13
229,13
230,7
231,28
232,10
233,29
234,18
235,20
236,16
237,1
238,10
239,16
240,23
241,12
242,6
243,23
244,25
245,0
246,25
247,16
248,0
249,2
250,15
251,20
252,17
253,22
254,28
255,11
256,6
257,7
258,16
259,10
260,15
261,24
262,13
263,0
264,15
265,1
266,13
267,11
268,21
269,16
270,13
271,24
272,11
273,25
274,1
275,10
276,2
277,1
278,7
279,12
280,16
281,0
282,13
283,16
284,16
285,27
286,28
287,26
288,11
289,6
290,0
291,16
292,2
293,24
294,21
295,9
296,17
297,25
298,13
299,12
300,20
301,6
302,4
303,15
304,28
305,14
306,29
307,24
308,17
309,17
310,19
311,29
312,19
313,20
314,20
315,3
316,7
317,16
318,4
319,3
320,23
321,29
322,24
323,13
324,7
325,14
326,5
327,25
328,16
329,17
330,23
331,20
332,10
333,26
334,28
335,0
336,1
337,28
338,26
339,16
340,6
341,29
342,0
343,22
344,1
345,24
346,1
347,20
348,26
349,1
350,29
351,12
352,23
353,6
354,29
355,9
356,24
357,17
358,20
359,10
360,27
361,13
362,19
363,16
364,14
365,28
366,29
367,2
368,11
369,20
370,29
371,27
372,23
373,23
374,24
375,24
376,10
377,10
378,3
379,3
380,20
381,23
382,24
383,0
384,0
385,1
386,1
387,26
388,26
389,25
390,23
391,6
392,10
393,10
394,23
395,27
396,27
397,1
398,1
399,3
400,6
401,6
402,6
403,10
404,10
405,24
406,25
407,25
408,3
409,3
410,23
411,23
412,6
413,12
414,6
415,3
416,10
417,10
418,6
419,6
420,0
421,10
422,10
423,9
424,4
425,9
426,10
427,10
428,25
429,25
430,15
431,15
432,23
433,23
434,29
435,4
436,29
437,20
438,20
439,23
440,25
441,6
442,6
443,25
444,14
445,14
446,0
447,28
448,3
449,3
450,23
451,6
452,6
453,25
454,25
455,14
456,14
457,10
458,18
459,10
460,20
461,20
462,29
463,29
464,24
465,24
466,29
467,29
468,9
469,18
470,9
471,23
472,23
473,0
474,0
475,0
476,10
477,10
478,20
479,20
480,29
481,26
482,26
483,24
484,23
485,23
486,26
487,26
488,15
489,15
490,27
491,29
492,27
493,14
494,14
495,9
496,9
497,3
498,2
499,2
500,13
501,27
502,1
503,27
504,13
505,13
506,1
507,1
508,23
509,23
510,13
511,13
512,20
513,29
514,20
515,1
516,1
517,9
518,17
519,17
520,2
521,2
522,27
523,2
524,29
525,2
526,2
527,2
528,2
529,2
530,21
531,21
532,14
533,13
534,13
535,25
536,13
537,13
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,28
547,1
548,1
549,27
550,27
551,14
552,9
553,9
554,27
555,9
556,16
557,27
558,13
559,21
560,13
561,13
562,25
563,25
564,1
565,1
566,0
567,0
568,9
569,13
570,9
571,21
572,21
573,14
574,14
575,16
576,0
577,0
578,21
579,29
580,17
581,29
582,24
583,24
584,27
585,11
586,11
587,16
588,16
589,17
590,17
591,17
592,24
593,24
594,24
595,24
596,2
597,2
598,9
599,9
600,13
601,13
602,0
603,14
604,21
605,19
606,19
607,25
608,25
609,13
610,20
611,20
612,13
613,0
614,13
615,11
616,11
617,7
618,8
619,29
620,29
621,11
622,11
623,6
624,13
625,6
626,1
627,1
628,29
629,29
630,2
631,2
632,1
633,1
634,2
635,13
